# This is a Revit shared parameter file.
# Do not edit manually.
*META	VERSION	MINVERSION
META	2	1
*GROUP	ID	NAME
GROUP	1	ASS_MNG
GROUP	2	CST_PROC
GROUP	3	COM_DAT
GROUP	4	ELC_PWR
GROUP	5	HVC_SYSTEMS
GROUP	6	PLM_DRN
GROUP	7	LTG_CONTROLS
GROUP	8	FLS_LIFE_SFTY
GROUP	9	PER_SUST
GROUP	10	BLE_ELES
GROUP	11	TPL_TRACKING
GROUP	12	MAT_INFO
GROUP	13	PRJ_INFORMATION
GROUP	14	PROP_PHYSICAL
GROUP	15	RGL_CMPL
GROUP	16	BLE_STRUCTURE
GROUP	17	STINGTags_ISO19650
GROUP	18	WARN_THRESHOLDS
GROUP	19	SLV_SLEEVE_PARAMS
GROUP	20	CLASH_COORDINATION
GROUP	21	ACC_SYNC
GROUP	22	IFC_EXCH
GROUP	23	HEALTH_METRICS
GROUP	24	ASBUILT
GROUP	25	COMMISSIONING
GROUP	26	TBL_TITLEBLOCK
GROUP	27	STING_DRAWING
GROUP	28	CLN_CLINICAL
GROUP	29	MGS_SYSTEMS
GROUP	30	RAD_PROTECTION
GROUP	31	CEQ_CLINICAL
GROUP	32	LIG_BEHAVIOURAL
GROUP	33	Identity
GROUP	34	Routing
*PARAM	GUID	NAME	DATATYPE	DATACATEGORY	GROUP	VISIBLE	DESCRIPTION	USERMODIFIABLE
PARAM	3e3919d0-f25e-59de-83b2-11b60db5b9c5	BLE_ROOF_INS_R_VALUE_M_2K_W	TEXT		2	1	Ble Roof Ins R Value M 2k W [ISO 19650-1:2018]	1
PARAM	22ff6f18-d985-5dba-9dcf-fe95cb053aca	BLE_ROOF_PLM_DRN_SYSTEM_TYPE_TXT	TEXT		2	1	Ble Roof Plm Drn System Type Txt [ISO 19650-1:2018]	1
PARAM	8d51616d-812b-58d6-a3c2-3ef872fc3ed0	BLE_ROOF_SLOPE_DEG	TEXT		2	1	Ble Roof Slope Deg [ISO 19650-1:2018]	1
PARAM	bd6b9e9b-777a-517c-bde4-597df17f6d94	BLE_ROOF_SOLAR_REFLECTANCE_INDEX_NR	TEXT		2	1	Ble Roof Solar Reflectance Index Nr [ISO 19650-1:2018]	1
PARAM	5a5c212a-35f2-4f7e-a7f4-fc57e787679f	BLE_ROOF_THICKNESS_MM	TEXT		2	1	Roof construction build-up thickness in mm [ISO 19650-1:2018]	1
PARAM	85a719ec-5f20-5541-994f-b588c8491fbe	BLE_ROOF_TYPE_TXT	TEXT		2	1	Ble Roof Type Txt [ISO 19650-1:2018]	1
PARAM	ff29c3dc-01cd-5c14-b41e-c1d8fca3cfc9	BLE_ROOF_WATERPROOFING_SYSTEM_TXT	TEXT		2	1	Ble Roof Waterproofing System Txt [ISO 19650-1:2018]	1
PARAM	df9197f1-d5c9-4ef0-bec7-052656671371	BLE_ROOM_FIRE_ESCAPE_CAPACITY_NR	TEXT		2	1	Room fire escape capacity in persons [ISO 19650-1:2018]	1
PARAM	0bf56335-3e98-58cb-81eb-a998c017d657	BLE_ROOM_NAME_TXT	TEXT		2	1	Ble Room Name Txt [ISO 19650-1:2018]	1
PARAM	08c45bc2-6903-5a41-b295-9c3111de6882	BLE_ROOM_NUM_TXT	TEXT		2	1	Ble Room Num Txt [ISO 19650-1:2018]	1
PARAM	aaa7d06b-881d-447c-b28d-ec2764597319	BLE_ROOM_VENTILATION_RATE_LPS	TEXT		2	1	Room design ventilation rate in l/s [ISO 19650-1:2018]	1
PARAM	908be268-188c-405a-9d0b-d8717999da94	BLE_SIGN_ILLUMINATED_BOOL	TEXT		2	1	Signage is internally illuminated [ISO 19650-1:2018]	1
PARAM	c1e98355-30ee-4f2c-ba3d-861bcb840d82	BLE_SIGN_TYPE_TXT	TEXT		2	1	Signage type classification [ISO 19650-1:2018]	1
PARAM	d1228a5a-c2ca-4018-b02c-1c29a6ffd5bf	BLE_STAIR_HEADROOM_MM	TEXT		2	1	Stair headroom clearance in mm [ISO 19650-1:2018]	1
PARAM	7cead505-38f5-57a5-9425-b349170a9ee7	BLE_STRUCT_BEAM_SZ_TXT	TEXT		2	1	Ble Struct Beam Sz Txt [ISO 19650-1:2018]	1
PARAM	7f9e7848-00fe-54f4-be8a-d1b2921c081d	BLE_STRUCT_COLUMN_SZ_TXT	TEXT		2	1	Ble Struct Column Sz Txt [ISO 19650-1:2018]	1
PARAM	9499fb71-5eab-5b17-9f5b-8741104bd98c	BLE_STRUCT_CONCRETE_GRADE_TXT	TEXT		2	1	Ble Struct Concrete Grade Txt [ISO 19650-1:2018]	1
