# v2.3 | 20260227 | BIM Template mr_parameters
Revit_Category,Parameter_Name,Parameter_GUID,Data_Type,Group_Name,Binding_Type,Description,Has_Formula,Formula,Input_Parameters,Discipline,User_Modifiable,Hide_When_No_Value
Pipes,PLM_VEL_MPS,d85554af-6914-563d-a8f2-0cef71e09f2d,TEXT,PLM_DRN,Type,Plm Vel Mps [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipe Accessories,PLM_VLV_ACTUATION_TYPE_TXT,b4712e8b-8be7-512f-9ca4-3ea6e665095b,TEXT,PLM_DRN,Type,Plm Vlv Actuation Type Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipe Accessories,PLM_VLV_BODY_MAT_TXT,6c4c030a-0f07-563a-88f7-6f65c08dcd59,TEXT,PLM_DRN,Type,Plm Vlv Body Mat Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipe Accessories,PLM_VLV_CV_NR,69f69261-043b-5c7c-916e-769dc7e1b9d9,NUMBER,PLM_DRN,Type,Plm Vlv Cv Nr [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipe Accessories,PLM_VLV_END_CONNECTION_TXT,91eddd10-93a4-55bd-ad71-ca0f79c0b9fd,TEXT,PLM_DRN,Type,Plm Vlv End Connection Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Pipe Accessories,PLM_VLV_PSR_CLASS_TXT,d3fa455d-9505-59c5-9386-c5610eb4ed7e,TEXT,PLM_DRN,Type,Plm Vlv Psr Class Txt [ISO 19650-1:2018],False,,,PLUMBING,1,0
Generic Models,ASS_TAG_4_TXT,9432c6e4-8912-4a0b-bf04-2ee1cf3afadf,TEXT,ASS_MNG,Type,Ass Tag 3 Txt [ISO 19650-3:2020],True,"ASS_CAT_TXT + "" - "" + ASS_LOC_TXT",,MULTI,0,0
Generic Models,ASS_TAG_5_TXT,c875d795-d764-4a8b-826a-2677635b15b9,TEXT,ASS_MNG,Type,Ass Tag 3 Txt [ISO 19650-3:2020],True,"ASS_CAT_TXT + "" - "" + ASS_ID_TXT",,MULTI,0,0
Generic Models,ASS_TAG_6_TXT,6fcfc27b-a42d-4f54-92ad-66c875f9be38,TEXT,ASS_MNG,Type,Ass Tag 3 Txt [ISO 19650-3:2020],True,"ASS_TAG_1_TXT + "" - "" + ASS_LOC_TXT",,MULTI,0,0
Mechanical Equipment,HVC_EQP_TAG_01_TXT,62f66802-8bd6-4861-aad0-f23e5b1905d2,TEXT,HVC_SYSTEMS,Type,HVC_EQP_TAG,True,"ASS_ID_TXT + ""-"" + ASS_TAG_1_TXT",,HVAC,0,0
Mechanical Equipment,HVC_EQP_TAG_02_TXT,c3974615-09ac-46ee-8c69-589df04a35c0,TEXT,HVC_SYSTEMS,Type,HVC_EQP_TAG 2,True,"ASS_ID_TXT + ""-"" + ASS_LOC_TXT",,HVAC,0,0
Mechanical Equipment,HVC_EQP_TAG_03_TXT,59605dc9-0029-4704-8dff-cf3bd25b749d,TEXT,HVC_SYSTEMS,Type,HVC_EQP_TAG 3,True,"ASS_TAG_1_TXT + ""-"" + ASS_LOC_TXT",,HVAC,0,0
